,toxic,polite
211,придурка и дебилойд,глупец
212,"да ну? по себе не суди, чмо егэшное. тролль из тебя говенный😜 ps: можешь не отвечать. мне с такими фуфлогонами, как ты, базлать западло.","неужели? не судите по себе. тролль из вас плохой😜 ps: можете не отвечать. я не хочу общаться с такими лжецами, как вы."
213,"а почему бы вам беленьким светленьким нахуй не пойти с прикрытой группы, дабы небыли закинуты камнями?:d","а почему бы вам беленьким светленьким не уйти с прикрытой группы, дабы небыли закинуты камнями?:d"
214,"быдло в зеркале увидеш, а параша это наверное твой дом родной.",некультурного человека вы видите в зеркале.
215,эта страна хохложопия.,эта страна украинцев.
216,"Зачит, полдвача - долбоёбы, воспитанные порнхабом и бурятской мультипликацией Не может этого быть!
","Зачит, полдвача - инфантилы, воспитанные порнхабом и бурятской мультипликацией Не может этого быть!
"
217,"че там за вдвшники то были? как обычно те, кто пайки на камбузе мылил? ссыкуны, которые забыли правило. что своих на поле боя не бросают.","что там за вдвшники то были? как обычно те, кто пайки на камбузе мылил? трусы, которые забыли правило. что своих на поле боя не бросают."
218,уроды!!!! чем им котик помешал?! им отрубить руки по локоть на х ...,ужасно!!!! чем им котик помешал?! им отрубить руки по локоть...
219,"конечно молодеж вяжут,нахамили полиции в наркоалко состоянии!когда уже этих демонстрантов перебьют!?хохлятские выкидыши!всех повесить!","конечно молодеж задерживают,нахамили полиции в состоянии алкогольного или наркотического опьянения!когда уже этих демонстрантов перебьют!?дети украинцев!всех повесить!"
220,"Шарий топ, порохоботам сосат","Шарий топ, сторонники Порошенко неудачники."
221,"себе то веришь , трепло",вы себе то верите
222,"только такой мрази как на украине, в россии ещё не хватало.","только таких плохих людей как на украине, в россии ещё не хватало."
223,"молодец! страну сберёг, не то, что наши выблядки","молодец! страну сберёг, не то, что наши"
224,ну и нахуй пиздуй отсюда,ну и уходите отсюда
225,а что прям сразу трахаться надо?😜,а что прям сразу заниматься сексом надо?😜
226,прости -утка ты лукаш настоящяя! продажный хамелион! шакал дву личный! на коленях минимум два раза в год стоял перед путиным плакался и канючил денюшки для ((братского народа)) и путин россия давала милиарды продажному ((брату)) сволоч !,"лукашенко, вы продажный политик! продажный хамелион! шакал дву личный! на коленях минимум два раза в год стоял перед путиным плакался и выпрашивал деньги для ((братского народа)) и путин россия давала милиарды продажному ((брату)) !"
227,"бедный ребенок с голоду хи и такому рад, грудь дала бы дура","бедный ребенок с голоду хи и такому рад, грудь дала бы"
228,растреливать все эту падаль надо. как же они заебали.,убивать их всех надо. как же они утомили.
229,"издевательство над животным,машина тянет цепь,твари и уроды,найти и утопить самих","издевательство над животным,машина тянет цепь,найти и утопить самих"
230,"Сдохни, нацистское быдло","Умрите, нацист"
231,"зачем засорять эфир и мозги? вы какие цели преследуете, выставляя этот дебилизм?","зачем загрязнять эфир и мозги? вы какие цели преследуете, выставляя это?"
232,всегда гора посуды и мусор - пройти нельзя!!! две бабы в доме блядь!!!,всегда гора посуды и мусор - пройти нельзя!!! две женщины в доме!!!
233,двачую 1 И по традиции,согласен 1 И по традиции
234,"зюганов хуйло, только из-за угла пиздеть умеет, не более. реформу пенсионную просрал, а пиздел больше всех, грудинина проебал, поправки в конституцию пропиздел...кпрф опустил. бурные аплодисменты, геннадий андреич, вам.","зюганов бездарный политик, только из-за угла говорить умеет, не более. реформу пенсионную пропустил, а говорил больше всех, грудинина потерял, поправки в конституцию пропустил...кпрф опустил. бурные аплодисменты, геннадий андреевич, вам."
235,да ни х_я в этой помойке нету. одни пиздоболы и остались,ничего здесь нет. одни болтуны и остались
236,в.в. путин президент рф актёр и аферист поставленный российскими олигархами и зарубежными странами чтобы грабить россию. надо уничтожать этих воров.,в.в. путин президент рф актёр и аферист поставленный российскими олигархами и зарубежными странами чтобы грабить россию. надо уничтожать этих воров.
237,"ёб я тебя в не топлённой бане твоя рыжая пида шлёпала губами,#u9b079a3836s# 👏 👏",привлекательно 👏 👏
238,твой старый пидар саложопый тебя в свинарнике насосал...,...
239,морда жидовская скоро лопнет,не много ли этому еврею?
240,отстреливать негодяев,убивать негодяев
241,"Шевцов,гений!Как он разбирается во всех областях науки?Как он делает так чтобы малолетние дебилы ему поклонялись?Просто он говорит школьникам что они хотят услышать.Вот вам и про то что СНГ страны загнивают,пора валить срочна РРРЯЯЯ","Шевцов,гений!Как он разбирается во всех областях науки?Как он делает так чтобы дети ему поклонялись?Просто он говорит школьникам что они хотят услышать.Вот вам и про то что СНГ страны загнивают,пора уезжать срочна РРРЯЯЯ"
242,даже мне стыдно давать когда очко не бритое..,даже мне стыдно заниматься сексом когда анус не бритый..
243,мразь мало надо было бошку разбить себе урод,мало надо было голову разбить себе
244,"надо было еще и сжечъ поповскую обитель,...нахуй ворюг святошей...","надо было еще и сжечъ обитель священников,..."
245,дебилка че он ей в пятак не врезал,почему он не ударил её по лицу
246,когда его уже посадят!? или.........! задолбал! сука!,когда его уже посадят!? или.........!
247,"да заебали вы уже этим лохотроном!!! админы одноклассниковвы куда блядь смотрите? почему это ебалово не блокируете? чтоб вас черти дрюкали, суки поганые",вы уже надоели с этим мошенничеством!!! админы одноклассниковвы куда смотрите? почему это не блокируете?
248,"пора вообще насильников законно кастрировать,пусть будут евнухами","пора вообще насильников законно кастрировать,пусть будут кастратами"
249,"как из старых русских сказок. Интересно, как она изнутри выглядит","как из старых русских сказок. Интересно, как она изнутри выглядит"
250,лучше голову ему затолкать! а руки можно просто обрубить.,лучше голову ему затолкать! а руки можно просто обрубить.
251,отьебали твою маму и родилось ты уебище,родились вы
252,я бы ей по еблу дала!!,я бы ударила её по лицу!!
253,вот дура. это она предлагала пожизненные льготы для экс президентов. рассчитывала на халяву? кто только за эту дочку олигарха местного разлива голосовать будет.,какая же глупая женщина. это она предлагала пожизненные льготы для экс президентов. рассчитывала на льготы? кто только за эту дочку олигарха местного разлива голосовать будет.
254,"и расстреливать однако,","и убивать однако,"
255,"твари, их бы там так привязать","ужасные люди, их бы там так привязать"
256,"пидрила ты яша маша, гондон трижды штопанный","яков, вы непорядочный человек"
257,тварина ты и твой насрально- анальный,вы и ваш навальный ужасные люди
258,рашистские выблятки,дети россиян
259,как мило:d сетьевые дрочеры флудят😂😂😂,как мило:d пользователи интернета флудят😂😂😂
260,"совсем крыша сьехала у этой сучки. выслать ее на зер в ливан, пусть там лезет им без мыла в жопу.","она совсем сошла с ума. выслать ее в ливан, пусть там заискивает перед ними."
261,"Какой же ты пидор, оп, взял и перед сном настроени блять испортил, уу, сука.","Какой же ты нехороший человек, взял и перед сном настроени испортил."
262,больная старуха не доебана мужиками ты?,"вы больная пожилая женщина, которой не хватает секса?"
263,ее надо расстрелять как и всю госдуму,ее надо убить как и всю госдуму
264,отшлепать бы ее в этом же позе и трахнуть жёстко на заборе💋💋💋,отшлепать бы ее в этом же позе и заняться сексом с ней жёстко на заборе💋💋💋
265,тварь конченая и ублюдок ...,ужасный человек ...
266,Ебучие тупорылые плОтонические карлики-либерахи на месте?,Либералы на месте?
267,только расстрел!,только смертная казнь!
268,марина русская ду да просто уже противно читать семейная как эта и счастливая жене пишет лизании тимуру о все посты на уровне ширинки у престарелой помнит шлюхи дивкой була бабка як ч ответить класс наташка агсоbаlепо была да сплыла чз ответить класс,марина русская ду да просто уже противно читать семейная как эта и счастливая жене пишет лизании тимуру о все посты о секса у престарелой помнит пожилая женщина лёгкого поведения как была девственницей ответить класс наташка агсоbаlепо была да сплыла чз ответить класс
269,не ну вы реально пиздаболы... хоть бы год дали вашему вранью.,вы настоящие лжецы... хотя бы год дали вашей лжи.
270,"изыди дырка стремная ,иди бухни и в рот возьми",уйдите
271,"слилась субстанция.. впрочем спешу признать свою ошибку. я погорячился и поэтому приношу извинения у всех долбоебов настоящего, прошлого и будущего.. уважаемые долбоёбы простите меня за то что я причислил чушка сашу виданова к вашей мерзкой аудитории.. простите за оскорбление. каюсь.","слилась субстанция.. впрочем спешу признать свою ошибку. я погорячился и поэтому приношу извинения у всех глупцов настоящего, прошлого и будущего.. уважаемые глупцы простите меня за то что я причислил александра виданова к вашей аудитории.. простите за оскорбление. каюсь."
272,ублюдок! закон бумеранга еще никто не отменял!!,закон бумеранга еще никто не отменял!!
273,жлобизм чистой воды! ...и конечно еврей охуительно умный!!!,жадность чистой воды! ...и конечно еврей невероятно умный!!!
274,"И не увидишь, ибо это то же самое, если спрашивать, почему у ваты горит от Навального.","И не увидишь, ибо это то же самое, если спрашивать, почему российских патриотов раздражает Навальных."
275,"ебанашка, где только таких мразей штопают",вы ужасный человек
276,припизда старая))),сумасшедшая старая)))
277,аж противно читать ибанутые людишки кто такое пишет а ничего что есть сорт томата такой крупный,даже противно читать сумасшедшие люди кто такое пишет а ничего что есть сорт томата такой крупный
278,вот и я думаю что надо кувалдой по башке и серпом по яйцам и пиздец перестройки и этой сраной дерьмократии,вот и я думаю что надо кувалдой по голове и серпом по яйцам и конец перестройке и этой демократии
279,"дибилы издеваются над своим телом! 🤦‍♀️🤦‍♀️🤔 лечится надо таким людям, да почаще!","сумасшедшие издеваются над своим телом! 🤦‍♀️🤦‍♀️🤔 лечится надо таким людям, да почаще!"
280,"на кол этого судью надо ,чтобы другим не повадно было.","казнить этого судью надо ,чтобы другим не повадно было."
281,"как то лично я,не очень то и сомневался еще в 14,15г.,что если с укропией что то не выйдет и не заладится,примутся эти пидоры наглосаксонские и пиндостанские за бульбу(рб),что в общем то и происходит,пппц,лукумба-таракан,как ты мог предать всех и все???,и уже приполз на коленках к злому старшему брату рф и ввп как вопрос о троне встал,а как же твой (и) друзяшки типа пиндосов и в частности помпео,поганый предатель и двурушник???,как по мне послать бы тебя сраный предатель на х. ,но,я не занимаю такие должности,и геополитика и все такое уж точно как бы не по мне(есть и по умнее дяди).","как то лично я,не очень то и сомневался еще в 14,15г.,что если с украиной что то не выйдет и не заладится,примутся эти англосаксы и американцы за беларусь,что в общем то и происходит,пппц,лукашенко,как вы могли предать всех и все???,и уже приполз на коленках к злому старшему брату рф и ввп как вопрос о троне встал,а как же ваши друзья наподобие американцев и в частности помпео,предатель и двурушник???,я бы с удовольствием послал вас куда подальше ,но,я не занимаю такие должности,и геополитика и все такое уж точно как бы не по мне(есть и по умнее дяди)."
282,"ага блядь,,, чё те белорусь чемодан что-ли?) щётка дикая!!!!!","ага,,, что вам белорусь чемодан что-ли?) щётка дикая!!!!!"
283,того кто это делал самого бы так тянуть. что бы знал придурок как это хорошо!!!,того кто это делал самого бы так тянуть. что бы знал как это хорошо!!!
284,"повезло девке. из болота достали, отряхнули, показали супницу старинную, духи приличные, вилочку для рыбы.... аристократкой сделали)))) пусть ещё радуется,что на ней женился,а то вон таких с ссаненькой чёлкой и драными коленками- море.","повезло девке. из болота достали, отряхнули, показали супницу старинную, духи приличные, вилочку для рыбы.... аристократкой сделали)))) пусть ещё радуется,что на ней женился,а то вон таких с грязной чёлкой и исцарапанными коленками- море."
285,мозгов нет со всем что-ли. идиота.,вы со всем сошли с ума что-ли.
286,откуда они такие берутся полуумные дебилы это же надо так на посмешище себя выставлять,откуда берутся такие глупцы это же надо так на посмешище себя выставлять
287,казнить за приватизацию .развал энергетики а сейчас ворует в нана,казнить за приватизацию .развал энергетики а сейчас ворует в нана
288,"А шлюхочасы позобавили. Хлопцам на работе расскажу.
",А часы позобавили. Хлопцам на работе расскажу.
289,"да хуй дождёмся,припал к ,,кормушкеуёбок.","да не дождёмся,припал к ,,кормушке."
290,"ты сама бегала пиздела, что у тебя несколько детей, тупица.","вы сами бегала говорили, что у вас несколько детей."
291,заебали троли.. пустозвоны,надоели троли.. пустозвоны
292,"ёпта, девки уже в 12 ебутся. :d :d :d","ого, девушки уже в 12 занимаются сексом. :d :d :d"
293,"это уебище, что на фото, последнее спиздит!","этот человек на фото, последнее украдёт!"
294,этот уебок еще натворит дел!!!!,этот ужасный человек еще натворит дел!!!!
295,где ты там русских баб то углядела??)))явные корейские пиздоглазки))(,где вы там увидели русских женщин??)))явные кореянки))(
296,народ сам посадил эту сволочь на шею.сам и сбросит.хорошо хоть смертная казнь отменена.,народ сам посадил этого ужасного человека на шею.сам и сбросит.хорошо хоть смертная казнь отменена.
297,"Сурдин вещает как для малолетних дебилов а Попов как для студентов физтеха. Научпоп который мы заслужили. По-моему как раз норм. Главное что раскрывает темы, о которых большинство ничего не знает, либо только что-то про них слышало.","Сурдин вещает как для детей а Попов как для студентов физтеха. Научпоп который мы заслужили. По-моему как раз норм. Главное что раскрывает темы, о которых большинство ничего не знает, либо только что-то про них слышало."
298,таких блядей я ещё не видел,таких плохих людей я ещё не видел
299,такие сволочи тоже есть на белом свете?,такие ужасные люди тоже есть на белом свете?
300,вообще их нахуй загасить всех надо за такую хуйню!!!!!!!!!!!!!,вообще их убить всех надо за такое!!!!!!!!!!!!!
301,моя жопа твой рот имела,
302,"все взятки да в очко им забивать до отказа, вот такую бы им инквизицию, интересно у всех очко выдержит!!!???","все взятки да в задницу им забивать до отказа, вот такую бы им инквизицию, интересно у всех задница выдержит!!!???"
303,обнуленного плешивца можно с кем то попутать?..,путина можно с кем то попутать?..
304,убить мало своих бы мам пап убивали,убить мало своих бы мам пап убивали
305,пошел он нахуй,его мнение не имеет значение
306,потому что пидорасы,потому что плохие люди
307,кто за этого дебила голосовал?,кто за него голосовал?
308,стрелять на месте и не нужен суд!,стрелять на месте и не нужен суд!
309,"вот дебил этот коментатор, гаденыш, кто таких пидорасов рожает-- кто кто? америкосы вот кто? всю оппозицию надо расстреливать а не маяться с ними, эти твари по другому не успокоиться, можно в россию на лесоповал отправлять, чтоб заготовками занимались, (лесом, газом и нефтью) для свой белоруссии.","этот коментатор заблуждается, кто таких плохих людей рожает-- кто кто? американцы вот кто? всю оппозицию надо убивать а не маяться с ними, они по другому не успокоиться, можно в россию на лесоповал отправлять, чтоб заготовками занимались, (лесом, газом и нефтью) для свой белоруссии."
310,"блядь не как посадить не могут алкаша, все доказательств не хватает. идеотизм.","не как посадить не могут алкоголика, все доказательств не хватает."
311,"Неудачники-лузеры, которым не дают. Прими синюю таблетку и го к девочкам подальше отсюда.","Неудачники-лузеры, у которых нет секса. Прими синюю таблетку и го к девочкам подальше отсюда."
312,"козёл он , мразь и падаль ! как он может что то помнить , подонок , когда обжерался и обдалбливался до усрачки ?","ужасный он человек ! как он может что то помнить , когда напивался и принимал наркотики до потери памяти ?"
313,хуецикл,
314,"да ебучая россия потому что, все хотят заработать денег чтоб погасить ипотеки и кредиты, как мне жаль наших работящих мужчин за копейки работают, что даже сна нет у человека на износ работал , если это конечно так !!!!","да россия потому что, все хотят заработать денег чтоб погасить ипотеки и кредиты, как мне жаль наших работящих мужчин за копейки работают, что даже сна нет у человека на износ работал , если это конечно так !!!!"
315,в точь точь.. нахер нужны... одна шалава ушла и пусть и эта пиздует..,в точь точь.. не нужны... одна женщина лёгкого поведения ушла и пусть и эта уходит..
316,"красава, гандонов бить","молодец, бить плохих людей"
317,и отсосите у своих отцов,
318,"Да, Эстетам похуй . Когда ваш главэстет будит униженно на весь интернет опровергать свой пиздёж про старикашку - вам тоже похуй будет? Ты долбоёб, гоблядь, Маэстро если и сделает такое извенение , то в нём ещё сильнее обосрёт старикашку и хайпанёт на этом)) Можешь придумывать кликбэйтные заголовки и отправлять лакеям)) Величайший историк извеняется перед гоблинским подсосом)) Маэстро: По решению подзалупного суда косплеер не плагиатор, не бандит, не насильник, не педофил, слышите!? И сам пишет свои маняграфии)) Пусть до конца жизни судится, спляшем с Книгой Века на его могиле))","Да, Эстетам нет дела . Когда ваш главэстет будит униженно на весь интернет опровергать свою ложь про пожилого человека - вам тоже не будет дела? Вы заблуждаетесь, фанат Гоблина, Маэстро если и сделает такое извенение , то в нём ещё сильнее обругает пожилого человека и хайпанёт на этом)) Можете придумывать кликбэйтные заголовки и отправлять лакеям)) Величайший историк извеняется перед фанатом Гоблина)) Маэстро: По решению суда косплеер не плагиатор, не бандит, не насильник, не педофил, слышите!? И сам пишет свои монографии)) Пусть до конца жизни судится, спляшем с Книгой Века на его могиле))"
319,0ебанько хуйли с тобой общаться...скучно и неинтересно...особенно бензин...пенсионный возраст и ндс...,с вами нет смысла общаться...скучно и неинтересно...особенно бензин...пенсионный возраст и ндс...
320,иди в жопу соска,отстаньте
321,трусливая хуйня!!! полюбому не мужчина!!!!!!!!!!!!!!!!!!!!,трус!!! не мужчина!!!!!!!!!!!!!!!!!!!!
322,он по ходу тупой антрапетакан,он глупец
323,"козел это, а не папа!!!",это очень плохой отец!!!
324,сучье племя,плохие люди
325,"ну что скажешь тут,дебил дебилом","ну что скажешь тут,глупец"
326,арестовать затем повесить,арестовать затем повесить
327,"модеры, вы совсем охренели? какого хрена допускаете подобные статеечки, заведомо лживые и лицемерные, да и вообще, что здесь делают путинские долбоебы, да еще и с подобными писульками?","модеры, вы забыли про свои обязанности? почему допускаете подобные статьи, заведомо лживые и лицемерные, да и вообще, что здесь делают сторонники путина, да еще и с подобными текстами?"
328,Хуйню несёшь ты. Как ещё можно назвать кромсание человека на части? Какие аргументы вообще тут могут быть? Тут и так всё ясно.,Заблуждаетесь вы. Как ещё можно назвать кромсание человека на части? Какие аргументы вообще тут могут быть? Тут и так всё ясно.
329,растрелять псину!!!,убить!!!
330,"он не хозяин собаки, а мразь!!!!! да собака не причём, если хозяин дурак еб.... тый!!!","он не хозяин собаки, а ужасный человек!!!!! да собака не причём, если хозяин сошёл с ума!!!"
331,Засунь бабаху себе в рот..,
332,эту скотину давно нужно кончить,его давно нужно убить
333,уничтожить ублюдка!,уничтожить его!
334,да какие они депутаты продажные твари все им бы только за границу а о родине почти не думают всех поголовно выгнать и завести уголовные дела и всех есть за что посадить,да какие они депутаты продажные политики все им бы только за границу а о родине почти не думают всех поголовно выгнать и завести уголовные дела и всех есть за что посадить
335,"о чём с этими разговаривать эти конченые ублюдки двух слов связать не могут, бить их тварей надо, пусть под кроватью у себя дома орут","о чём с этими разговаривать они двух слов связать не могут, их бить надо, пусть под кроватью у себя дома орут"
336,омон кто избивать людей на кол,омон кто избивать людей на кол
337,"надо гнать в шею таких долбоебов, кто придумал такой закон","надо гнать в шею тех, кто придумал такой закон"
338,"есть дебилы,ублюдки, выблядки,моральные уроды,мрази и ничтожества, а ещё есть путиуёбки, на фоне которых все выше перечисленные кажутся божими одуванчиками.","есть глупцы, ужасные люди, безнравственные люди и ничтожества, а ещё есть сторонники путина, на фоне которых все выше перечисленные кажутся божими одуванчиками."
339,владимир владимирович для гражданинароссию честы валешка а уас для хуесосов навальный сть а,владимир владимирович для гражданинароссию честы валешка а уас для ничтожеств навальный сть а
340,голову в жопу запихать надо. и руки оторвать,голову в задницу запихать надо. и руки оторвать
341,тварь растрелять,убить
342,ты ы шло чмо зловонное на хуй! и суке своей кишку ссаную побрей - два хохлобакса отсосете,"отстаньте, вы и ваша женщина!"
343,черножопая пошла на хуй ..............,"отстаньте, афроамериканка .............."
344,админ педераст. вот и вся подпись.,админ нехороший человек. вот и вся подпись.
345,"пидор толсторылый зажравшийся. грубо наверное, но для него в самый раз.","толстый обнаглевший плохой человек. грубо наверное, но для него в самый раз."
346,пидоров(fr) это тебя касается ! с м (fr),это вас касается ! с м (fr)
347,"тупорылые,кострюлиголовые,разместились!!!",разместились!!!
348,эту мразь не убить и привязать так же пусть прочухает как сидеть беспомощной собаке,его не убить и привязать так же пусть представит себе как сидеть беспомощной собаке
349,"обычно стервы самые верные , а тихушницы - подлые","обычно раскованные девушки самые верные , а скромные девушки - подлые"
350,да сразу в морду ведь ясно что диалога не будет просто есть категория людей-блядей они подругому нуууу никак не поймут .удачи,да сразу бить по лицу ведь ясно что диалога не будет просто есть категория плохих людей они подругому нуууу никак не поймут .удачи
351,ты пидор конченый и сука,вы плохой человек
352,ну я всегда говорю нехуй шастать если что я свами качайте войска мі их накажем любья,ну я всегда говорю незачем ходить если что я свами качайте войска мі их накажем любья
353,ОСТОРОЖНО ПЕТУШАРИЙ! ОСТОРОЖНО ПЕТУШАРИЙ! ОСТОРОЖНО ПЕТУШАРИЙ!,ОСТОРОЖНО ШАРИЙ! ОСТОРОЖНО ШАРИЙ! ОСТОРОЖНО ШАРИЙ!
354,"жидяры вторую волну начинают! чувствуют суки, что им приходит! мрази конченые!","евреи вторую волну начинают! чувствуют, что им приходит!"
355,"пьяная гнида убила человека,какая на...й жалость!тюрьма и только ,+за употребление наркоты.пень старый!","пьяный человек убил человека,какая ещё жалость!тюрьма и только ,+за употребление наркотиков."
356,стрелять этих мразей,убивать их
357,"пожизненно хм...не согласен его кормить,охранять сколько расходов вешать их надо вешать...","пожизненно хм...не согласен его кормить,охранять сколько расходов вешать их надо вешать..."
358,шалавы и лизбиянки самое то...,женщины лёгкого поведения и лизбиянки самое то...
359,куда вы суете свое ебало у себя с нигерами разбирайтесь ублюдки..,куда вы суетесь у себя с афроамериканцами разбирайтесь..
360,"где берут таких долбоебов, даже нельзя назвать женщиной, подставная кукла.","где таких берут, даже нельзя назвать женщиной, подставная кукла."
361,уёбище лесное,ничтожество лесное
362,путин конченный хуесос!!!,путин совершенное ничтожество!!!
363,хуйло пиковые!!!!,ничтожество пиковые!!!!
364,"в чëм он пидорас? что изменил профессию, это право каждого! трудовой кодекс для всех, а присягу он давал для отечества. кто-то пожарником стать. кто-то кем-то, не важно. он отработал. так что не смыслете не говорите.","в чëм он нехороший человек? что изменил профессию, это право каждого! трудовой кодекс для всех, а присягу он давал для отечества. кто-то пожарником стать. кто-то кем-то, не важно. он отработал. так что не смыслете не говорите."
365,эту падаль надо вешать на столбах.....,их надо вешать на столбах.....
366,"прутся из своих аулов, грабить, насиловать, убивать! сколько их в москве?!гнать поганой метлой! скольких русских они убили на своей поганой войне! а сейчас кадыров миллиарды качает из казны! сидят на шеях россиян! у самих ничего нет! все за счет россии. дармоеды, нахлебники, преступники. и себя, если что, быстренько к россии пречисляют! прав был сталин, что во время войны, запихал их в эшелоны и вывез куда подальше! продажных шкур. гитлеру они конч с золотой уздечкой приготовили! а сейчас ноют, сколько они бедные пережили! гнать дубьем! и сразу фильм впоминается, брат-2- не брат ты мне, гнида черножопая!","едут из своих аулов, грабить, насиловать, убивать! сколько их в москве?!гнать! скольких русских они убили на своей войне! а сейчас кадыров миллиарды качает из казны! сидят на шеях россиян! у самих ничего нет! все за счет россии. дармоеды, нахлебники, преступники. и себя, если что, быстренько к россии пречисляют! прав был сталин, что во время войны, запихал их в эшелоны и вывез куда подальше! продажных людей. гитлеру они конч с золотой уздечкой приготовили! а сейчас ноют, сколько они бедные пережили! гнать! и сразу фильм впоминается, брат-2- не брат ты мне!"
367,"зато западу нужны нахлебники- приебалты, украина, грузия, армения, азербайджан, далее по списку","зато западу нужны нахлебники- прибалты, украина, грузия, армения, азербайджан, далее по списку"
368,смерть русским окупантам,смерть русским окупантам
369,"а вы блядь седьмой год со своей самой сильной армией европы не можете победить в войне и никогда не победите,тупые хохлопидары.","а вы седьмой год со своей самой сильной армией европы не можете победить в войне и никогда не победите,украинцы."
370,"Хуй бы ты двачевал, если бы сидел в говне на уровне стран Африки.","Вы бы не пользовались интернетом, если бы сидели в нищете на уровне стран Африки."
371,"как всегда одна брехня,мать сказала сама что внесла сумму,и отец подтвердил,а теперь никто и ничего не вносил? забрехались все,а зачем тогда захерка подтвердил что заказал стрипбабу,а не оплатил,потому что она на 21 не наработала? зачем? суки склорозные...","как всегда одна ложь,мать сказала сама что внесла сумму,и отец подтвердил,а теперь никто и ничего не вносил? все запутались в своей лжи,а зачем тогда захар подтвердил что заказал стриптизёршу,а не оплатил,потому что она на 21 не наработала? зачем?"
372,блять 25 бездельников (посредники между заводом и потребителем) :-o :-o :-o обидели их :-d :-d :-d,блять 25 бездельников (посредники между заводом и потребителем) :-o :-o :-o обидели их :-d :-d :-d
373,молодец!!!!!собаке собачья смерть. да и вообще бешенную собаку надо стрелять на месте.,молодец!!!!!собаке собачья смерть. да и вообще бешенную собаку надо убивать на месте.
374,охуевшая рожа,наглое лицо
375,"парни молодцы, а россгвардия обосралась они только стариков и женьщин могут лупить ублюдки","парни молодцы, а россгвардия не справилась они только стариков и женьщин могут бить"
376,что трипать языком возмите ирастреляйте посадите на кол в чом проблема?,что говорить возмите и убейте в чом проблема?
377,пидарасня мелкая я бы им руки отхуячила по самые кочупатки изуверы,дети мелкие я бы им руки отрезала по самые кочупатки изуверы
378,да баранов много что верят в эту хрень,да глупых людей много что верят в эту ерунду
379,"А почему же я ахуею? У меня сложилось впечатление, что вы против борьбы с дедовщиной. Это поведение деда в первую очередь ударит по сержанту и старшине. С тех пор как всем солдатам выдают листочки с номерами прокуратуры, полиции армия изменилась и теперь дедовщины не допускают. И кстати при старшине дед себя так не вёл, вот и получается. Что, даже если меня взьебут за то, что я сделал, то пусть так. Лучше уж получить от прямого начальника, чем от какого то рядового, который просто ахуел и все...
","А почему же я обнаглею? У меня сложилось впечатление, что вы против борьбы с дедовщиной. Это поведение деда в первую очередь ударит по сержанту и старшине. С тех пор как всем солдатам выдают листочки с номерами прокуратуры, полиции армия изменилась и теперь дедовщины не допускают. И кстати при старшине дед себя так не вёл, вот и получается. Что, даже если меня накажут за то, что я сделал, то пусть так. Лучше уж получить от прямого начальника, чем от какого то рядового, который просто обнаглел и все..."
380,"Это тральская картинка, довнич. Почитай иностранную порашу, там визгов на тему заливающих говна в жопу либерах даже больше, чем у нас.
","Это картинка троллей, довнич. Почитай иностранные ресурсы, там паники на тему занимающихся однополым сексом либералов даже больше, чем у нас.
"
381,"мы, здесь про котов, смотрим, или херню дырявого пидороса, читаем??","мы, здесь про котов, смотрим, или ерунду, читаем??"
382,я тебе в рот дам дам не пугайся исполню твою мечту худоногую,я тебе сделаю минет не пугайся исполню твою мечту худоногую
383,если ты пидарас неровняй по себе чмо пиздоголовое,"если вы непорядочный человек, то не надо ровнять всех по себе"
384,"За госуслуги с показыванием номера телефона, паспорта и морды лица в МФЦ спорить не буду и без этого думаю причин хватит. Смысл день мозги колупать с переносом номеров в поддержках, интнрнетах и прочей трихомудии когда можно написать одно заявление перенеся номер другому оператору? Ну не ёта так другой оператор работающий в 2g сети без лишнего мозгоебства перенес номер. Просто жаль что на них времени убил месяц.","За госуслуги с показыванием номера телефона, паспорта и лица в МФЦ спорить не буду и без этого думаю причин хватит. Смысл день заниматься переносом номеров в поддержках, интнрнетах и прочем когда можно написать одно заявление перенеся номер другому оператору? Ну не ёта так другой оператор работающий в 2g сети без лишней бюрократии перенес номер. Просто жаль что на них времени убил месяц."
385,с пидором царём и мы крепостными сковородок станем....,с геем царём и мы крепостными сковородок станем....
386,мочи пиндосов.,убивай американцев.
387,но дебил лоханулся придурок :d,но он ошибся :d
388,"птичке отрежем крылья, чтоб не могла летать.а любимой отпилим ноги, чтоб не могла убежать.","птичке отрежем крылья, чтоб не могла летать.а любимой отпилим ноги, чтоб не могла убежать."
389,руки переломать этому подонку.,руки переломать ему.
390,хочу отсосать его 😋,хочу отсосать его 😋
391,сколько таких баранов по стране!!!!! ты в жопе живёш и в жопу же лезеш только ещё глубже. дцп бля!!!,сколько таких глупцов по стране!!!!! ты в нищете живёш и в нищету же лезеш только ещё глубже.
392,мородеры ...ублюдки ...мерзота ...к сожалению их в верхах полно ...и сами между собой как гиены радиальные .....именно ..радиальные ...рвут друг другу глотки,мородеры ... ...к сожалению их в верхах полно ...и сами между собой как гиены радиальные .....именно ..радиальные ...рвут друг другу глотки
393,меченая паскуда гореть тебе предатель в вечном аду .🔥👺👹🔥,гореть вам предатель в вечном аду .🔥👺👹🔥
394,"таким голову надо сразу отрубать, чтобы таких уродов не было.","таким голову надо сразу отрубать, чтобы таких не было."
